Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2087","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","46.97","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","27.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2317","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","53.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.97","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","3114","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","66.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","76","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2234","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","36.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.15","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1764","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","29.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2287","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","39.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","48.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2048","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","41.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","41.78","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2318","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","35.03","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","80.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2538","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.46","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","71.79","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2575","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","61.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","23.71","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1877","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","27.66","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","48.24","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2503","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","49.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","27.63","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2276","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","39.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","42.4","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2459","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","41.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","67.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2543","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","39.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","70.24","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2127","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2648","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","50","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","42.64","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1918","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","38.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","23.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2724","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","62.74","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2214","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","48.7","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2370","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","38.95","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","68.65","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2164","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.83","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","53.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2581","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","69.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","54.61","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1780","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.28","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","20.85","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2158","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2490","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","46.81","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","25.2","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2657","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","61.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","46.83","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2579","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","47.42","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","83.63","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1604","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","29.88","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","39.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1948","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","50.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.85","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2287","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.33","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","29.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2586","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","63.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1934","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","32.8","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","46.71","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2254","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","38.14","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","74.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2595","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","64.04","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2265","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.52","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","79.33","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2432","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.64","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","52.25","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2102","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","38.94","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","49.37","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1960","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","27.6","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","35.26","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2303","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.56","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","57.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2729","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.95","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","43.17","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2174","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","36.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","47.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2847","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","48.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","35.53","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2360","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","66.77","Fc","Calculated data"
"FBS","Food Balances (2010-)","167","Czechia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2342","Fc","Calculated data"
"FBS","Food Balances (2010-)","167","Czechia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.68","Fc","Calculated data"
